olympus_id,created_at,created_by,updated_at,updated_by,cusip,isin,sedol,occ_symbol,issuer_olympus_id,ultimate_issuer_olympus_id,description,quote_currency,round_lot,price_factor,minimum_piece,coupon,maturity,ticker,amount_outstanding,market_sector_description,maturity_type,collateral_type,issue_date,first_settle_date,days_to_settle,figi,asset_type,price
75888,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,XS2357494751,BP094M1,,6527832,4625358,QPETRO 3.3 07/12/51 REGS,USD,1000,0.01,200000,3.3,7/12/2051,QPETRO,4000000000,Corp,CALLABLE,SR UNSECURED,7/12/2021,7/12/2021,2,BBG011MR3R45,Bond,82.34
76605,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,202712BN4,US202712BN45,BMCDDP6,,2730738,2730738,CBAAU 2.688 03/11/31 144A,USD,1000,0.01,200000,2.688,3/11/2031,CBAAU,1500000000,Corp,AT MATURITY,SUBORDINATED,3/11/2021,3/11/2021,2,BBG00ZHG2VP0,Bond,78.81
76628,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,XS2308313860,BKQN541,,6055,5514392,ANVAU V1.625 03/11/81 EMTN,EUR,1000,0.01,100000,1.625,3/11/2081,ANVAU,700000000,Corp,CALLABLE,COMPANY GUARNT,3/11/2021,3/11/2021,2,BBG00ZHMX1H8,Bond,66.26
76903,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,62879NAA5,US62879NAA54,BNNHZR0,,2544605,3666677,NTBKKK V3.625 PERP 144A,USD,1000,0.01,200000,3.625,,NTBKKK,700000000,Corp,PERP/CALL,COMPANY GUARNT,2/24/2021,2/24/2021,2,BBG00ZCFQS23,Bond,74.21
77366,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,XS2306962841,BMXC7R2,,2544605,3666677,NTBKKK V3.625 PERP REGS,USD,1000,0.01,200000,3.625,,NTBKKK,700000000,Corp,PERP/CALL,COMPANY GUARNT,2/24/2021,2/24/2021,2,BBG00ZCFLZD0,Bond,105
77948,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,USY00130RP42,BKF9CP0,,6647264,6647264,ADSEZ 4.375 07/03/29 REGS,USD,1000,0.01,200000,4.375,7/3/2029,ADSEZ,750000000,Corp,AT MATURITY,SR UNSECURED,7/3/2019,7/3/2019,2,BBG00PKGTJ67,Bond,64.98
81768,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,961214FG3,US961214FG36,BMCCXC0,,2722627,2722627,WSTP V5.405 08/10/33,USD,1000,0.01,2000,5.405,8/10/2033,WSTP,1000000000,Corp,CALLABLE,SUBORDINATED,8/10/2022,8/10/2022,2,BBG0191W8DC7,Bond,92.84
89646,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,USY00130YU53,BMVC4S4,,6647264,6647264,ADSEZ 5 08/02/41 REGS,USD,1000,0.01,200000,5,8/2/2041,ADSEZ,450000000,Corp,CALLABLE,SR UNSECURED,8/2/2021,8/2/2021,2,BBG011WXGMZ4,Bond,88.13
89901,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,00652MAJ1,US00652MAJ18,BNQMPY9,,6647264,6647264,ADSEZ 5 08/02/41 144A,USD,1000,0.01,200000,5,8/2/2041,ADSEZ,450000000,Corp,CALLABLE,SR UNSECURED,8/2/2021,8/2/2021,2,BBG011WXHC94,Bond,98.62
90922,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,XS1224955408,BX1DCR9,,2775531,6115076,BHP 1.5 04/29/30 17,EUR,1000,0.01,100000,1.5,4/29/2030,BHP,750000000,Corp,CALLABLE,COMPANY GUARNT,4/28/2015,4/28/2015,2,BBG008KR9HN8,Bond,70.39
92370,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,AU3FN0069704,BP0WQ24,,527341,527341,ALDAU F 06/21/82 MTN,AUD,10000,0.01,10000,8.1633,6/21/2082,ALDAU,150000000,Corp,CALLABLE,COMPANY GUARNT,6/21/2022,6/21/2022,2,BBG0185NN3C0,Bond,73.42
98240,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,XS2333388937,BP0Y3W9,,1260981,7025342,TAQAUH 3.4 04/29/51 REGS,USD,1000,0.01,200000,3.4,4/29/2051,TAQAUH,750000000,Corp,CALLABLE,SR UNSECURED,4/29/2021,4/29/2021,2,BBG01064XSW0,Bond,84.1
99105,2024-01-31 21:40:31.270256+00:00,core-data-loader,2024-01-31 21:40:31.270256+00:00,core-data-loader,,USY72570AS69,BPQ0655,,1826011,1826011,RILIN 2.875 01/12/32 REGS,USD,1000,0.01,250000,2.875,1/12/2032,RILIN,1500000000,Corp,AT MATURITY,SR UNSECURED,1/12/2022,1/12/2022,2,BBG014CYPML3,Bond,62.99
100398,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,69370PAG6,US69370PAG63,BKV28W2,,6388721,4781249,PERTIJ 4.175 01/21/50 144A,USD,1000,0.01,200000,4.175,1/21/2050,PERTIJ,1000000000,Corp,CALLABLE,SR UNSECURED,1/21/2020,1/21/2020,2,BBG00RCXL0G3,Bond,71.56
105127,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,USY72570AM99,BVVSZN7,,1826011,1826011,RILIN 4.875 02/10/45 REGS,USD,1000,0.01,250000,4.875,2/10/2045,RILIN,750000000,Corp,AT MATURITY,SR UNSECURED,2/10/2015,2/10/2015,2,BBG0081W9VG5,Bond,101.12
106584,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,USJ5901UCR17,BPJLBR2,,662989,662989,NORBK 5.43 03/09/28 REGS,USD,1000,0.01,200000,5.43,3/9/2028,NORBK,500000000,Corp,AT MATURITY,SR UNSECURED,3/9/2023,3/9/2023,2,BBG01FPNQ641,Bond,77.03
106857,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,XS2049804896,BGMGPW4,,919449,919449,BNKEA V5.875 PERP,USD,1000,0.01,250000,5.875,,BNKEA,650000000,Corp,PERP/CALL,JR SUBORDINATED,9/19/2019,9/19/2019,2,BBG00Q6WB2Q0,Bond,72.63
108141,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,USY68856AQ98,BWC9G11,,4725798,5497773,PETMK 4.5 03/18/45 REGS,USD,1000,0.01,200000,4.5,3/18/2045,PETMK,1500000000,Corp,AT MATURITY,COMPANY GUARNT,3/18/2015,3/18/2015,2,BBG0088NHVY9,Bond,71.79
114701,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,XS2075924048,BHT6472,,5278522,7025342,MUBAUH 3.7 11/07/49 REGS,USD,1000,0.01,200000,3.7,11/7/2049,MUBAUH,1500000000,Corp,CALLABLE,COMPANY GUARNT,11/7/2019,11/7/2019,2,BBG00QQ6GGG0,Bond,76.46
114977,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,XS2080214864,BKTHBD1,,5291348,6811112,ADTIN 4.25 05/21/36 REGS,USD,1000,0.00785,200000,4.25,5/21/2036,ADTIN,392500000,Corp,SINKABLE,SR SECURED,11/21/2019,11/21/2019,2,BBG00QTMRFC6,Bond,60.11
115075,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,62878WAA6,US62878WAA62,BKTNPW6,,7030639,3666677,NTBKKK V4.5 PERP 144A,USD,1000,0.01,200000,4.5,,NTBKKK,750000000,Corp,PERP/CALL,COMPANY GUARNT,11/27/2019,11/27/2019,2,BBG00QTW3TB1,Bond,87.43
115394,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,69370RAA5,US69370RAA59,BMW3NT0,,6388721,4781249,PERTIJ 6.45 05/30/44 REGS,USD,1000,0.01,200000,6.45,5/30/2044,PERTIJ,1500000000,Corp,AT MATURITY,SR UNSECURED,5/30/2014,5/30/2014,2,BBG006K6CZG2,Bond,84.35
115711,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,XS2383421711,BMCQ377,,4307613,6388822,ICBCAS V3.2 PERP,USD,1000,0.01,200000,3.2,,ICBCAS,6160000000,Corp,PERP/CALL,JR SUBORDINATED,9/24/2021,9/24/2021,2,BBG012J48621,Bond,73.34
116593,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,USY0606WCC20,BK9RF73,,4587951,5451367,BBLTB V3.466 09/23/36 REGS,USD,1000,0.01,200000,3.466,9/23/2036,BBLTB,1000000000,Corp,CALLABLE,SUBORDINATED,9/23/2021,9/23/2021,2,BBG012JD9P00,Bond,90.49
116810,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,XS2712618615,BPP2050,,1938460,1938460,AMPAU F 11/09/26 EMTN,AUD,10000,0.01,250000,7.5529,11/9/2026,AMPAU,275000000,Corp,AT MATURITY,SR UNSECURED,11/9/2023,11/9/2023,2,BBG01JY7TB35,Bond,85.07
123826,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,USY7141BAB90,BNYNN06,,7009079,4781249,FRIDPT 5.315 04/14/32 REGS,USD,1000,0.01,200000,5.315,4/14/2032,FRIDPT,1500000000,Corp,CALLABLE,SR UNSECURED,4/14/2022,4/14/2022,2,BBG016LS44J7,Bond,81.17
134686,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,75102WAG3,US75102WAG33,BQXL2P0,,1546318,1546318,RAKUTN 11.25 02/15/27 144A,USD,1000,0.01,200000,11.25,2/15/2027,RAKUTN,1800000000,Corp,AT MATURITY,SR UNSECURED,2/6/2024,2/6/2024,4,BBG01L6Y6ZC4,Bond,80.92
138670,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,XS2342057143,BMZLLB9,,4379631,616991,UNSEAM 3.625 06/01/28 REgs,EUR,1000,0.01,100000,3.625,6/1/2028,UNSEAM,813000000,Corp,CALLABLE,SR SECURED,5/14/2021,5/14/2021,2,BBG010KZYJ18,Bond,75.24
138671,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,019579AA9,US019579AA90,BMVXSB8,,4379631,616991,UNSEAM 4.625 06/01/28 144A,USD,1000,0.01,200000,4.625,6/1/2028,UNSEAM,1224999900,Corp,CALLABLE,SR SECURED,5/14/2021,5/14/2021,1,BBG010L8BSK1,Bond,94.43
138672,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,049362AA4,US049362AA49,BMVXSF2,,4379631,616991,UNSEAM 4.625 06/01/28 144a,USD,1000,0.01,200000,4.625,6/1/2028,UNSEAM,775000000,Corp,CALLABLE,SR SECURED,5/14/2021,5/14/2021,1,BBG010L8F643,Bond,97.27
138673,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,XS2342058034,BMZLLG4,,4379631,616991,UNSEAM 4.875 06/01/28 rEGS,GBP,1000,0.01,100000,4.875,6/1/2028,UNSEAM,367700000,Corp,CALLABLE,SR SECURED,5/14/2021,5/14/2021,2,BBG010L9T227,Bond,90.02
138770,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,,USL0431FAA05,BQ2MWV0,,4379631,616991,UNSEAM 4.625 06/01/28 REGs,USD,1000,0.01,200000,4.625,6/1/2028,UNSEAM,775000000,Corp,CALLABLE,SR SECURED,5/14/2021,5/14/2021,1,BBG010L8FVS2,Bond,61.65
140748,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,74348DAA5,US74348DAA54,BK8JBY9,,2494293,3656375,PROMIG 3.75 10/16/29 144A,USD,1000,0.01,200000,3.75,10/16/2029,PROMIG,520000000,Corp,CALLABLE,SR UNSECURED,10/16/2019,10/16/2019,1,BBG00QJ8BSX4,Bond,70.96
141052,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,46590XAX4,US46590XAX49,BMGC2X0,,6086286,1114202,JBSSBZ 6.5 12/01/52,USD,1000,0.01,2000,6.5,12/1/2052,JBSSBZ,1547655000,Corp,CALLABLE,COMPANY GUARNT,8/21/2023,8/21/2023,2,BBG01HMRBSN8,Bond,95.15
141873,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,46590XAU0,US46590XAU00,BMGC2W9,,6086286,1114202,JBSSBZ 3.625 01/15/32,USD,1000,0.01,2000,3.625,1/15/2032,JBSSBZ,933050000,Corp,CALLABLE,COMPANY GUARNT,8/21/2023,8/21/2023,2,BBG01HMRBGN4,Bond,65.67
141877,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,46590XAY2,US46590XAY22,BLGYSB9,,6086286,1114202,JBSSBZ 5.75 04/01/33,USD,1000,0.01,2000,5.75,4/1/2033,JBSSBZ,2049172000,Corp,CALLABLE,COMPANY GUARNT,8/21/2023,8/21/2023,2,BBG01HMRDHB3,Bond,69.77
142334,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,830867AB3,US830867AB33,BMT8BV6,,724211,682670,DAL 4.75 10/20/28 144A,USD,1,0.01,2000,4.75,10/20/2028,DAL,3500000000,Corp,SINKABLE,SR SECURED,9/23/2020,9/23/2020,1,BBG00XC990F8,Bond,60.14
142606,2024-01-31 21:41:39.387082+00:00,core-data-loader,2024-01-31 21:41:39.387082+00:00,core-data-loader,13805AAA5,US13805AAA51,BMTW6C4,,3447916,5483678,CANPCK 3.125 11/01/25 144A,USD,1000,0.01,200000,3.125,11/1/2025,CANPCK,400000000,Corp,CALLABLE,COMPANY GUARNT,10/26/2020,10/26/2020,1,BBG00XTT72Y3,Bond,97.85
465387,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS2244941063,BMXWT43,,6495446,919190,IBESM V1.874 PERP NC5,EUR,100000,0.01,100000,1.874,,IBESM,1600000000,Corp,PERP/CALL,COMPANY GUARNT,10/28/2020,10/28/2020,2,BBG00XYGFDD5,Bond,73.34
465672,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS2331739750,BMCK034,,7007550,7007550,SANTAN 1.5 04/14/26 EMTN,GBP,100000,0.01,100000,1.5,4/14/2026,SANTAN,600000000,Corp,AT MATURITY,SR NON-PREFERRED,4/14/2021,4/14/2021,2,BBG00ZXW1QF0,Bond,90.07
465732,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS2249858940,BLF7R12,,5597260,2628351,SELNSW 8 04/01/26 REGs,EUR,1,0.01,10000,8,4/1/2026,SELNSW,730891140,Corp,CALLABLE,SR SECURED,10/29/2020,10/29/2020,2,BBG00Y19Q5G7,Bond,61.64
465827,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS2332687040,BLFJ150,,2374700,2374700,INWIM 1.75 04/19/31 EMTN,EUR,1000,0.01,100000,1.75,4/19/2031,INWIM,500000000,Corp,CALLABLE,SR UNSECURED,4/19/2021,4/19/2021,2,BBG0100PX728,Bond,75.09
466185,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS0789331948,B8FL0X6,,962655,944700,NGGLN 4 06/08/27 EMTN,GBP,1000,0.01,100000,4,6/8/2027,NGGLN,301259000,Corp,AT MATURITY,SR UNSECURED,6/8/2012,6/8/2012,2,BBG0032KSGW5,Bond,69.23
466443,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS2319950130,BNC51H7,,2544144,1560455,AHLMUN 3.625 02/04/28 REGS,EUR,1000,0.01,100000,3.625,2/4/2028,AHLMUN,350000000,Corp,CALLABLE,SR SECURED,3/19/2021,3/19/2021,2,BBG00ZKTZSX0,Bond,104.58
466594,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS2211183756,BK7YNZ0,,4310639,24240,PRXNA 2.031 08/03/32 REGS,EUR,1000,0.01,100000,2.031,8/3/2032,PRXNA,750000000,Corp,CALLABLE,SR UNSECURED,8/3/2020,8/3/2020,2,BBG00WC4WPG9,Bond,96.81
466629,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS0589945459,B3MQY82,,1822514,363965,LLOYDS 6 02/08/29,GBP,1000,0.01,100000,6,2/8/2029,LLOYDS,1250000000,Corp,AT MATURITY,COVERED,2/8/2011,2/8/2011,2,BBG001HM7707,Bond,90.15
466755,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS2321651031,BMFPF20,,3166409,3166409,CELDES 5.25 04/01/26 REGS,EUR,1000,0.01,100000,5.25,4/1/2026,CELDES,271691000,Corp,CALLABLE,SR SECURED,3/25/2021,3/25/2021,2,BBG00ZN66M44,Bond,79.64
466783,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS2370618618,BP83D84,,100871,840812,SHODFP 6.5 08/01/26 REGS,GBP,1000,0.01,100000,6.5,8/1/2026,SHODFP,575000000,Corp,CALLABLE,SR SECURED,8/9/2021,8/9/2021,2,BBG011Y588C8,Bond,101.54
467027,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,84612JAA0,US84612JAA07,BNT2MT0,,2544144,1560455,AHLMUN 4.875 02/04/28 144a,USD,1000,0.01,200000,4.875,2/4/2028,AHLMUN,305000000,Corp,CALLABLE,SR SECURED,3/19/2021,3/19/2021,2,BBG00ZKVGWJ3,Bond,93.69
467552,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS2325700164,BKSCDY2,,2561205,1655299,ADVZCN 6.25 04/01/28 REGS,GBP,1000,0.01,100000,6.25,4/1/2028,ADVZCN,335000000,Corp,CALLABLE,SR SECURED,4/1/2021,4/1/2021,2,BBG00ZR6GBZ9,Bond,95.02
467659,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS1637863546,BF1X820,,1871716,3627463,BPLN 1.637 06/26/29 EMTN,EUR,1000,0.01,100000,1.637,6/26/2029,BPLN,650000000,Corp,CALLABLE,COMPANY GUARNT,6/26/2017,6/26/2017,2,BBG00H0K2VQ8,Bond,76.73
467693,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS1880442808,BGJVY03,,4157898,4156073,QDGASF 3.375 09/17/29 EMTN,GBP,1000,0.01,100000,3.375,9/17/2029,QDGASF,350000000,Corp,CALLABLE,SR SECURED,9/17/2018,9/17/2018,2,BBG00LY4YRQ2,Bond,103.85
467709,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS1865334020,BG00CZ0,,4262353,5826577,ROTHLF V6.875 PERP,GBP,1000,0.01,200000,6.875,,ROTHLF,350000000,Corp,PERP/CALL,JR SUBORDINATED,9/12/2018,9/12/2018,2,BBG00LWX3W10,Bond,77.89
467867,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS2326497802,BKVC8K0,,1514578,2605009,DOUGR 6 04/08/26 REGS,EUR,1000,0.01,100000,6,4/8/2026,DOUGR,1304999900,Corp,CALLABLE,SR SECURED,4/8/2021,4/8/2021,2,BBG00ZQRYFJ3,Bond,103.78
467950,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS1645518819,BF1Y1D5,,1505349,780874,ANNFND 3.935 07/12/47 EMTN,GBP,1000,0.01,100000,3.935,7/12/2047,ANNFND,760000000,Corp,CALLABLE,COMPANY GUARNT,7/12/2017,7/12/2017,2,BBG00H2Z6DL4,Bond,62.5
468076,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,FR0013524865,BN4CPF2,,52688,1215444,ELOFR 3.25 07/23/27 EMTN,EUR,100000,0.01,100000,3.25,7/23/2027,ELOFR,716000000,Corp,CALLABLE,SR UNSECURED,7/23/2020,7/23/2020,2,BBG00W0G4J52,Bond,71.6
468152,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS1859337419,BFD1Y46,,5190986,1932647,SFRFP 5.875 02/01/27 REGs,EUR,1000,0.01,100000,5.875,2/1/2027,SFRFP,1000000000,Corp,CALLABLE,SR SECURED,7/31/2018,7/31/2018,2,BBG00LG0Z8C6,Bond,99.31
468753,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,902613AH1,US902613AH15,BMWVNK5,,5203426,5203426,UBS V1.494 08/10/27 144A,USD,1000,0.01,200000,1.494,8/10/2027,UBS,2000000000,Corp,CALLABLE,SR UNSECURED,8/10/2021,8/10/2021,2,BBG0120ZJM07,Bond,64.14
468927,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,XS1888179550,BGPQZH6,,909135,909135,VOD V4.2 10/03/78,EUR,1000,0.01,100000,4.2,10/3/2078,VOD,500000000,Corp,CALLABLE,JR SUBORDINATED,10/3/2018,10/3/2018,2,BBG00M3LWPB8,Bond,78.5
469156,2024-01-31 22:38:32.750569+00:00,core-data-loader,2024-01-31 22:38:32.750569+00:00,core-data-loader,,USN57445AA17,BDFB3Y3,,1331916,4844361,MINCAP 4.625 08/10/30 REGS,USD,1000,0.01,200000,4.625,8/10/2030,MINCAP,1200000000,Corp,SINKABLE,SR SECURED,8/10/2017,8/10/2017,2,BBG00HCC7GD5,Bond,60.35
